"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","973","post and delete call","chromium","2026-07-04","passed","2026-07-04","","api/user_api_generic.spec.ts","",""
"","3050","login to app","chromium","2026-07-04","passed","2026-07-04","","loginPage.spec.ts","",""
"","1095","post and put call","chromium","2026-07-04","passed","2026-07-04","","api/user_api_generic.spec.ts","",""
"","322","update user test","chromium","2026-07-04","passed","2026-07-04","","api/users.api.spec.ts","",""
"","2971","verify logout link","chromium","2026-07-04","passed","2026-07-04","","homePage.spec.ts","",""
"","381","create user test","chromium","2026-07-04","passed","2026-07-04","","api/users.api.spec.ts","",""
"","2333","login title test","chromium","2026-07-04","passed","2026-07-04","","loginPage.spec.ts","",""
"","371","get all users","chromium","2026-07-04","passed","2026-07-04","","api/users.api.sep.spec.ts","",""
"","1003","post and get call","chromium","2026-07-04","passed","2026-07-04","","api/user_api_generic.spec.ts","",""
"","325","update users","chromium","2026-07-04","passed","2026-07-04","","api/users.api.sep.spec.ts","",""
"","2346","login forgot password link","chromium","2026-07-04","passed","2026-07-04","","loginPage.spec.ts","",""
"","3045","verify title","chromium","2026-07-04","passed","2026-07-04","","homePage.spec.ts","",""
"","349","get user test","chromium","2026-07-04","passed","2026-07-04","","api/users.api.spec.ts","",""
"","388","create users","chromium","2026-07-04","passed","2026-07-04","","api/users.api.sep.spec.ts","",""
"","3119","verify all headers","chromium","2026-07-04","passed","2026-07-04","","homePage.spec.ts","",""
"","329","delete user test","chromium","2026-07-04","passed","2026-07-04","","api/users.api.spec.ts","",""
