"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1657","post and put call","chromium","2026-07-04","passed","2026-07-04","","api/user_api_generic.spec.ts","",""
"","999","post and delete call","chromium","2026-07-04","passed","2026-07-04","","api/user_api_generic.spec.ts","",""
"","2298","login title test","chromium","2026-07-04","passed","2026-07-04","","loginPage.spec.ts","",""
"","332","create user test","chromium","2026-07-04","passed","2026-07-04","","api/users.api.spec.ts","",""
"","318","update user test","chromium","2026-07-04","passed","2026-07-04","","api/users.api.spec.ts","",""
"","361","get user test","chromium","2026-07-04","passed","2026-07-04","","api/users.api.spec.ts","",""
"","3155","verify logout link","chromium","2026-07-04","passed","2026-07-04","","homePage.spec.ts","",""
"","330","delete user test","chromium","2026-07-04","passed","2026-07-04","","api/users.api.spec.ts","",""
"","2933","verify title","chromium","2026-07-04","passed","2026-07-04","","homePage.spec.ts","",""
"","363","get all users","chromium","2026-07-04","passed","2026-07-04","","api/users.api.sep.spec.ts","",""
"","334","create users","chromium","2026-07-04","passed","2026-07-04","","api/users.api.sep.spec.ts","",""
"","3119","login to app","chromium","2026-07-04","passed","2026-07-04","","loginPage.spec.ts","",""
"","2348","login forgot password link","chromium","2026-07-04","passed","2026-07-04","","loginPage.spec.ts","",""
"","407","update users","chromium","2026-07-04","passed","2026-07-04","","api/users.api.sep.spec.ts","",""
"","3152","verify all headers","chromium","2026-07-04","passed","2026-07-04","","homePage.spec.ts","",""
"","1711","post and get call","chromium","2026-07-04","passed","2026-07-04","","api/user_api_generic.spec.ts","",""
