"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","310","update user test","chromium","2026-07-04","passed","2026-07-04","","api/users.api.spec.ts","",""
"","3371","verify all headers","chromium","2026-07-04","passed","2026-07-04","","homePage.spec.ts","",""
"","3209","verify logout link","chromium","2026-07-04","passed","2026-07-04","","homePage.spec.ts","",""
"","1491","post and put call","chromium","2026-07-04","passed","2026-07-04","","api/user_api_generic.spec.ts","",""
"","337","create users","chromium","2026-07-04","passed","2026-07-04","","api/users.api.sep.spec.ts","",""
"","2403","login title test","chromium","2026-07-04","passed","2026-07-04","","loginPage.spec.ts","",""
"","997","post and delete call","chromium","2026-07-04","passed","2026-07-04","","api/user_api_generic.spec.ts","",""
"","355","get user test","chromium","2026-07-04","passed","2026-07-04","","api/users.api.spec.ts","",""
"","325","delete user test","chromium","2026-07-04","passed","2026-07-04","","api/users.api.spec.ts","",""
"","3146","login to app","chromium","2026-07-04","passed","2026-07-04","","loginPage.spec.ts","",""
"","305","update users","chromium","2026-07-04","passed","2026-07-04","","api/users.api.sep.spec.ts","",""
"","1517","post and get call","chromium","2026-07-04","passed","2026-07-04","","api/user_api_generic.spec.ts","",""
"","2328","login forgot password link","chromium","2026-07-04","passed","2026-07-04","","loginPage.spec.ts","",""
"","3221","verify title","chromium","2026-07-04","passed","2026-07-04","","homePage.spec.ts","",""
"","298","create user test","chromium","2026-07-04","passed","2026-07-04","","api/users.api.spec.ts","",""
"","336","get all users","chromium","2026-07-04","passed","2026-07-04","","api/users.api.sep.spec.ts","",""
